user_id,date,sessions,screen_time_min,country
103,2024-02-27,5,53.75,Poland
436,2024-01-23,4,31.23,Poland
861,2024-02-23,1,13.05,USA
271,2024-03-20,2,66.58,UK
107,2024-03-05,1,118.89,Poland
72,2024-01-12,2,89.87,UK
701,2024-01-24,3,42.64,USA
21,2024-02-03,5,100.13,UK
615,2024-02-22,4,93.43,Germany
122,2024-01-08,3,37.39,Germany
467,2024-01-18,2,6.65,USA
215,2024-02-26,1,18.59,UK
331,2024-01-05,4,105.89,UK
459,2024-01-26,5,101.2,USA
88,2024-01-30,3,38.95,Poland
373,2024-02-23,5,37.8,France
100,2024-01-13,2,96.18,Poland
872,2024-03-23,5,112.84,France
664,2024-01-29,1,94.6,UK
131,2024-01-03,3,74.64,France
662,2024-03-30,3,32.91,France
309,2024-02-27,1,65.46,UK
770,2024-03-16,5,31.85,Germany
344,2024-01-02,1,97.92,France
492,2024-03-15,4,49.5,USA
414,2024-01-28,1,100.88,Poland
806,2024-03-22,5,48.89,UK
386,2024-03-17,1,99.78,UK
192,2024-03-26,2,43.33,France
956,2024-03-16,1,55.62,Germany
277,2024-01-02,1,75.78,Germany
161,2024-01-07,5,13.08,Poland
460,2024-01-26,4,114.04,Poland
314,2024-03-30,4,70.96,Germany
22,2024-03-28,5,63.4,Germany
253,2024-03-16,5,101.53,Germany
748,2024-01-16,5,104.56,France
857,2024-01-23,2,65.06,USA
561,2024-02-09,3,111.64,Poland
475,2024-02-29,1,12.44,UK
59,2024-03-13,5,18.02,Germany
511,2024-02-01,5,73.63,Germany
682,2024-01-15,5,45.72,USA
476,2024-01-13,4,58.39,Germany
700,2024-01-05,5,42.73,Poland
976,2024-03-15,1,51.54,Germany
783,2024-03-14,5,99.6,USA
190,2024-02-21,1,73.25,France
958,2024-03-17,2,119.69,Poland
687,2024-02-10,3,95.49,France
958,2024-02-22,4,36.47,UK
563,2024-02-19,1,35.4,USA
876,2024-01-15,2,43.63,UK
567,2024-01-07,3,101.97,UK
244,2024-02-09,3,8.14,UK
832,2024-01-28,3,31.47,UK
505,2024-02-01,1,109.07,USA
131,2024-01-15,2,78.59,France
485,2024-03-25,5,31.09,Germany
819,2024-03-10,2,30.2,UK
647,2024-03-05,2,104.2,Germany
21,2024-01-04,2,107.78,Germany
841,2024-01-11,1,34.46,UK
167,2024-01-26,1,53.36,Poland
274,2024-03-01,1,100.98,Germany
388,2024-02-06,2,93.67,Poland
601,2024-01-23,1,98.6,France
316,2024-03-25,3,64.62,Germany
14,2024-02-09,1,109.83,USA
242,2024-03-17,4,42.48,France
